Sr. No,"1.	Age:","2.	Gender","3.	Percentage /CGPA in the last Degree ",A. Bachelor in which discipline(Department  name):,B. Masters in which discipline(Department  name):,C. Any extra course:,5.  Year of passing the last education,"6.	The number of interviews faced.","7.	Marital Status",A. If married then Spouse(husband/wife) Occupation,"8.	I think my curriculum was sufficient for my present career.","9.	My personality is a perfect match for my career. ","10.	I am satisfied with the skills I have achieved along with my career","11.	I am able to apply my conceptual/technical skills in my career journey. ","12.	I am satisfied with the progress I have made toward meeting my goals for income. ","13.	I am satisfied with the progress I have made toward meeting my goals for career advancement. ","14.	I am satisfied with the progress I have made toward meeting the challenging task at my work. ","15.	 I am contented with my career even if I don’t get job. ","16.	I can work in a domain different from my educational background. ","17.	I would like to change my current career if I find better opportunities elsewhere. ","18.	Based on my career I can never remain unemployed","19.	I’m satisfied with the status I have in society due to my career. ",20.  My family supports me during ups and downs in my career.,"21.	I am satisfied with the progress I have made toward meeting my overall career goals",23.  Number of dependents in the family,"22.	I think I can have better performance in my career if had exposure to","24.	I need to acquire a few more skills through additional courses for the betterment of my career","B.	I need to acquire a few more skills through additional courses for the betterment of my career","25.	I will continue with my present career.",if no then reason,if yes then reason,I’m currently ,1. Occupation,"2.	Designation","4.	Current working domain","3.	Company/organization/institute Sector","5.	Years of work Experience ",6. What type of work are you doing?,"7..	How many times have you switched your Job / Business?",8. I’m satisfied with the work I do.,9. My work allows me to use a variety of skills and abilities.,10. My location is appropriate for my career growth.,11. I’m satisfied with the income based on my work.,12. I’m happy with the amount of time spent at work.,13. I have growth and advancement opportunity based on my work.,14. I’m able to maintain a balance between work and personal life,15. I would like to change my current job if I find better opportunities elsewhere.,"16. 	I am working in a domain different from my educational background. ","1.  As of now, I am occupied in my personal engagements.",2. I’m currently busy in doing further study.,3. I am not really looking for a job.,4.  I have done job before and may look for one in near future,5.  I am not happy with available job opportunities and salary offered.,6.  There is very less opportunity based on my educational background.,7. I am waiting for the desired job.,8. For getting a job I am ready to change my present location.,9. My focus is on government exams at present.,1) 10th Result marks [Science ],1) 10th Result marks [Mathematics],1) 10th Result marks [Overall result in % ],Science stream and subjects liking related Questions [I am happy with my decision of choosing science.],Science stream and subjects liking related Questions [I like to study Physics],Science stream and subjects liking related Questions [I like to study Mathematics],Science stream and subjects liking related Questions [I like to study Chemistry],Science stream and subjects liking related Questions [I chose science stream as it has increased my opportunities of choosing the career of my interest.],"On a 1-10 scale, 10 being highest, rate your subjects liking [Physics]","On a 1-10 scale, 10 being highest, rate your subjects liking [Chemistry]","On a 1-10 scale, 10 being highest, rate your subjects liking [Mathematics]","On a 1-10 scale, 10 being highest, rate your subjects liking [Computer]","On a 1-10 scale, 10 being highest, rate your subjects liking [English]",Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest 
122,23-25,Female,50-59,Chemistry,Chemistry,No,2018,3,Unmarried,,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Agree,Strongly disagree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,None,Technical/programming Skills;Practical Applications,Research skills,No,No,"I want a more reliable , secure job as a college professor",,Working,Job,Teacher,Teaching,Private,2,Office Work,0,Neutral,Neutral,Disagree,Neutral,Agree,Disagree,Agree,Strongly Agree,No,,,,,,,,,,90-100,70-79,90-100,Agree,Agree,Agree,Agree,Strongly Agree,10,10,10,5,10,Producing tangible results;Making things work;Action-oriented activities;Solving problems,Analyzing information;Conducting research;Learning new facts;Exploring theories;Developing knowledge,"Decorating;Writing poetry, stories;Reading;Being Emotional;Being expressive;Being brave and daring","Working in groups;Building relationships;Communication;Encouraging;Teaching, instructing;Coaching, training",Speaking in public;Debating ideas;Competing;Asserting ideas,Creating efficiency;Following the rules
123,23-25,Female,70-79,Chemistry,Chemistry,No,2018,more than 3,Unmarried,,Neutral,Neutral,Disagree,Agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Neutral,Strongly Agree,Strongly disagree,Disagree,Strongly Agree,Neutral,more than 3,Interactive Session,"Yes like public speaking, interaction communication skills",No,No,If i get better opportunity will pursue them ,,Non-Working,,,,,,,,,,,,,,,,,Strongly Disagree,Neutral,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,
124,23-25,Female,90-100,Mathematics,Mathematics,No,2017,1,Unmarried,,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,None,Practical Applications, No,No,Yes,,I am happy seeing my contribution in the society by helping students in shaping their career,Working,self-employed,Tutor,Tutor,Private,3,Office Work,0,Agree,Neutral,Neutral,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,No,,,,,,,,,,90-100,90-100,90-100,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,6,9,10,9,9,"Producing tangible results;Constructing, building;Making things work;Solving problems",Solving abstract problems;Learning new facts;Collecting data;Developing knowledge,Decorating;Designing;Reading,"Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Teaching, instructing;Coaching, training",Competing;Asserting ideas;Taking risks,Attention to detail;Performing calculations;Following the rules
125,26-28,Male,60-69,Geology,Geology,No,2017,3,Unmarried,,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Strongly Agree,Neutral,1,Technical/programming Skills;Practical Applications,No,No,No,"Due to unemployment rise and lack of natural resources in our country, Geology field is now no more a good opportunities. I would change my field if I gets good job with good package. I always eager to learn new and technical skills",,Working,Job,Senior Energy (Oil&Gas) Analyst,Oil and gas analyst,Private,3,Office Work,0,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,No,,,,,,,,,,60-69,50-59,50-59,Strongly Agree,Agree,Disagree,Neutral,Agree,4,2,3,4,4,Fixing things;Action-oriented activities;Working with my hands;Solving problems,Solving abstract problems;Conducting research;Learning new facts;Exploring theories;Collecting data;Developing knowledge,Reading;Being Emotional;Being expressive;Being brave and daring,"Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Teaching, instructing",Speaking in public;Competing;Asserting ideas;Taking risks;Being an entrepreneur,"Keeping records;Making charts, graphs;Using computer software;Creating efficiency;Performing calculations;Following the rules"
126,26-28,Male,60-69,Geology,Geology,No,2017,1,Unmarried,,Disagree,Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly disagree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,3,Practical Applications,No,No,Yes,,I'm good at it.,Working,Job,Geologist,Engineering,Private,3,Field Work,2,Strongly Agree,Agree,Neutral,Disagree,Agree,Strongly Agree,Strongly Agree,Neutral,No,,,,,,,,,,60-69,60-69,60-69,Agree,Agree,Agree,Disagree,Strongly Agree,3,2,5,6,10,"Constructing, building",Exploring theories,Being brave and daring,"Teaching, instructing",Speaking in public,Creating efficiency
127,23-25,Male,50-59,Civil Engineering,,"MBA, IIM Kashipur",2017,more than 3,Unmarried,,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,None,Soft skills;Interactive Session;Practical Applications,MBA,No,No,"No practical knowledge given,  Outdated course out line.",,Non-Working,,,,,,,,,,,,,,,,,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,,,,,,,,,,,,,,,,,,,
128,23-25,Male,50-59,Geology,Geology,No,2017,0,Unmarried,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,more than 3,Technical/programming Skills,No,No,No,No reason,,Working,Job,Royalty Inspector,Etc,Government,2,Field Work,0,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,,,,,,,,,,70-79,70-79,70-79,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Neutral,1,1,1,1,1,Action-oriented activities,Learning new facts,Being brave and daring,Supporting others,Taking risks,Following the rules
129,23-25,Male,60-69,Statistics,,No,2018,0,Unmarried,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,3,Interactive Session,No,No,Yes,,Because i love it,Working,self-employed,Founder/CEO,Textile Marketing Agency,Business,5,Field Work,0,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Neutral,Yes,,,,,,,,,,80-89,90-100,90-100,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,8,9,10,10,10,"Producing tangible results;Fixing things;Constructing, building;Making things work;Action-oriented activities;Working with my hands;Solving problems;Repairing, refinishing;Using equipment",Solving abstract problems;Analyzing information;Conducting research;Learning new facts;Exploring theories;Collecting data;Detailed activities;Developing knowledge;Designing systems,Composing music;Decorating;Playing instruments;Designing;Being Emotional;Being expressive;Being brave and daring,"Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Teaching, instructing;Coaching, training",Speaking in public;Debating ideas;Taking risks;Being an entrepreneur,"Keeping records;Making charts, graphs;Writing reports;Attention to detail;Using computer software;Conducting analyses;Creating efficiency;Performing calculations;Following the rules"
130,23-25,Female,70-79,Geology,Geology,No,2018,2,Unmarried,,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Agree,Strongly Agree,Neutral,None,Technical/programming Skills;Interactive Session;Practical Applications,Knowing different field related software's ,,No,Not a stable position here,,Working,Job,Teching Assistant,Academic ,Government,1,Office Work,0,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Strongly Agree,No,,,,,,,,,,80-89,90-100,80-89,Disagree,Agree,Strongly Agree,Agree,Neutral,8,8,10,9,10,Fixing things;Action-oriented activities;Working with my hands;Solving problems;Using equipment,Solving abstract problems;Analyzing information;Learning new facts;Exploring theories;Developing knowledge,Composing music;Being Emotional,"Working in groups;Supporting others;Building relationships;Teaching, instructing",Speaking in public,Attention to detail;Creating efficiency
131,26-28,Male,60-69,Civil Engineering ,,No,2016,2,Unmarried,,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,3,Soft skills;Interactive Session,No,No,Yes,,I am good with my Present Job.. Good Salary And Work Life Balance ,Working,self-employed,Building Contractor,Building Contractor,Business,3,Field Work,1,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,No,,,,,,,,,,80-89,80-89,80-89,Agree,Agree,Strongly Agree,Disagree,Agree,6,3,10,7,10,"Constructing, building;Making things work;Solving problems",Analyzing information;Conducting research;Collecting data;Developing knowledge,Reading,"Supporting others;Building relationships;Listening to people;Teaching, instructing",Taking risks;Being an entrepreneur,Attention to detail;Using computer software;Conducting analyses
132,23-25,Male,50-59,"Department of mathematics, B.sc. mathematics",Department of applied mathematics,Diploma in instrumental music (Violin),2018,1,Unmarried,,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,2,Soft skills;Technical/programming Skills;Interactive Session;Practical Applications,"Yes, B.Ed with maths",,Yes,,Because i love to teach children n to guide them what they exactly deserves a true knowledge,Working,self-employed,Teacher,Teaching job,Private,5,Field Work,0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,No,,,,,,,,,,80-89,90-100,70-79,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,6,8,10,9,8,"Constructing, building;Making things work;Action-oriented activities;Working with my hands;Solving problems;Using equipment",Solving abstract problems;Analyzing information;Conducting research;Learning new facts;Exploring theories;Developing knowledge,"Composing music;Playing instruments;Writing poetry, stories;Reading;Being expressive;Being brave and daring","Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Teaching, instructing;Coaching, training",Speaking in public;Debating ideas;Asserting ideas;Taking risks,Keeping records;Attention to detail;Using computer software;Conducting analyses;Creating efficiency;Performing calculations;Following the rules
133,23-25,Male,60-69,Civil Engineering,Civil Engineering,No,2018,more than 3,Unmarried,,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Strongly Agree,Neutral,None,Technical/programming Skills;Interactive Session;Practical Applications,No,No,Yes,,As it's a good job with challenging environment as I like. ,Working,Job,Technical Aide,Construction,Private,1,Office Work,1,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,No,,,,,,,,,,70-79,70-79,70-79,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,3,3,4,4,4,"Constructing, building;Making things work;Action-oriented activities;Solving problems",Solving abstract problems;Analyzing information;Learning new facts;Exploring theories;Developing knowledge;Designing systems,Designing;Reading;Being brave and daring,Working in groups;Building relationships;Communication;Listening to people;Collaborating;Encouraging,"Speaking in public;Persuading, influential;Taking risks;Being an entrepreneur;Negotiating",Using computer software;Conducting analyses;Creating efficiency;Performing calculations;Following the rules
134,23-25,Male,60-69,Mathematics,Mathematics,No,2018,more than 3,Unmarried,,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Disagree,Neutral,Disagree,Strongly Agree,Disagree,None,Interactive Session,No,No,Yes,,It's my passion,Working,Job,Coach,Competitive coaching centers,Private,2,Office Work,0,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Neutral,Agree,Agree,Yes,,,,,,,,,,80-89,90-100,80-89,Agree,Neutral,Strongly Agree,Neutral,Disagree,9,8,10,10,10,Fixing things;Working with my hands;Solving problems;Using equipment,Solving abstract problems;Analyzing information;Conducting research;Learning new facts;Exploring theories;Collecting data;Detailed activities;Developing knowledge;Designing systems,"Composing music;Decorating;Playing instruments;Designing;Writing poetry, stories;Reading","Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Teaching, instructing;Coaching, training",Speaking in public;Debating ideas;Competing;Taking risks;Being an entrepreneur,"Keeping records;Making charts, graphs;Writing reports;Attention to detail;Using computer software;Performing calculations"
135,26-28,Female,70-79,Chemistry ,,No,2015,1,Unmarried,,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,3,Soft skills,Tailoring course,,Yes,,More scope to earn money,Working,self-employed,Tailoring business ,Clothing ,Private,4,Field Work,0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,,,,,,,,,,70-79,70-79,70-79,Agree,Agree,Agree,Agree,Agree,7,7,7,5,5,Working with my hands,Detailed activities;Developing knowledge,Decorating;Designing;Being expressive,Communication;Encouraging,Taking risks,Keeping records
136,26-28,Female,50-59,Bsc. Statistics ,Msc statistics ,"Yes, 3 month biostatistics course",2015,more than 3,Unmarried,,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,3,Technical/programming Skills,Python,,Yes,,Scope and interest ,Working,Job,Sr. Biostatistican,Pharmaceutical ,Private,4,Office Work,1,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,No,,,,,,,,,,50-59,60-69,50-59,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,4,4,5,4,5,Making things work;Solving problems,Analyzing information;Conducting research;Learning new facts;Exploring theories;Detailed activities,Reading;Being expressive;Being brave and daring,Communication;Listening to people;Collaborating,Competing;Taking risks,"Keeping records;Making charts, graphs;Writing reports;Using computer software;Conducting analyses"
137,23-25,Female,50-59,Physics,Physics,No,2018,3,Married,No,Strongly Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,more than 3,Soft skills,No,No,Yes,,First class,Working,Job,Web -designer,It,Private,1,Office Work,1,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,,,,,,,,,,80-89,90-100,80-89,Strongly Disagree,Neutral,Neutral,Disagree,Neutral,7,4,9,7,4,"Working with my hands;Repairing, refinishing;Using equipment",Learning new facts;Developing knowledge;Designing systems,Decorating;Designing;Reading,Working in groups,Competing;Taking risks,Using computer software
138,23-25,Female,50-59,Mathematics,,No,2018,more than 3,Unmarried,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,more than 3,Interactive Session,No,No,Yes,,Yes,Working,Job,Associate 2 ,It,Private,2,Office Work,2,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,,,,,,,,,,90-100,90-100,90-100,Agree,Agree,Agree,Agree,Agree,9,9,9,9,9,Fixing things;Working with my hands;Solving problems,Solving abstract problems,Designing;Reading;Being Emotional;Being brave and daring,"Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Teaching, instructing;Coaching, training","Persuading, influential;Chairing committees;Competing;Asserting ideas;Taking risks",Keeping records;Writing reports;Attention to detail;Using computer software
139,23-25,Male,70-79,Metallurgy Engineering,Material Science and technology,No,2018,2,Married,                      Shivani dave; Teacher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,23-25,Male,70-79,Metallurgy Engineering,Material Science and technology,No,2018,2,Married,                      Shivani dave; Teacher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,23-25,Female,60-69,B.Sc in physics,M.Sc in applied physics,No,2018,more than 3,Unmarried,,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Strongly disagree,Disagree,Strongly Agree,Strongly Agree,Neutral,1,Soft skills;Technical/programming Skills;Interactive Session;Practical Applications,Being a teacher I only want that I should develop some skills thought which students can understand difficult topics easily. ,,Yes,,I am enjoying this profession,Working,Job,Lecture ,Teaching,Private,1,Office Work,0,Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Neutral,Strongly Disagree,No,,,,,,,,,,90-100,90-100,80-89,Agree,Agree,Agree,Strongly Disagree,Agree,9,1,9,5,8,"Producing tangible results;Constructing, building;Making things work;Action-oriented activities;Working with my hands;Solving problems;Repairing, refinishing;Using equipment",Analyzing information;Learning new facts;Exploring theories;Collecting data;Developing knowledge,Decorating;Designing;Reading;Being Emotional;Being expressive;Being brave and daring,"Working in groups;Supporting others;Building relationships;Communication;Listening to people;Encouraging;Teaching, instructing","Speaking in public;Persuading, influential;Competing;Taking risks;Negotiating",Keeping records;Writing reports;Using computer software;Creating efficiency;Performing calculations;Following the rules
142,23-25,Male,50-59,Chemical,Na,No,2018,1,Married,Housewife,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly disagree,Disagree,Agree,Agree,Strongly Agree,Agree,more than 3,Practical Applications,No,No,Yes,,Job satisfaction,Working,Job,Senior executive,Pharmaceutical,Private,2,Field Work,0,Agree,Agree,Agree,Disagree,Disagree,Neutral,Agree,Strongly Agree,No,,,,,,,,,,60-69,60-69,60-69,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,2,3,2,3,1,Producing tangible results;Making things work;Working with my hands,Solving abstract problems;Collecting data;Detailed activities,"Writing poetry, stories",Communication;Listening to people,Speaking in public;Being an entrepreneur,Writing reports
